alacritty 0.17.0-1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bc 1.08.2-1
bluez 5.87-2
bluez-utils 5.87-2
brave-origin-bin 1:1.92.139-1
bspwm 0.9.12-1
dosfstools 4.2-5
dunst 1.13.2-1
fastfetch 2.66.0-1
feh 3.12.2-1
git 2.55.0-1
greenclip 4.3.0-1
grub 2:2.14-1
i3lock-color 2.13.c.5-3
intel-ucode 20260512-1
libinput 1.31.3-1
libnotify 0.8.8-1
libva-intel-driver 2.4.5-1
libva-utils 2.24.0-1
linux-firmware 20260622-1
linux-lts 6.18.40-2
linux-lts-headers 6.18.40-2
maim 5.8.2-1
mpv 1:0.41.0-3
mtools 1:4.0.49-1
neovim 0.12.4-1
networkmanager 1.58.0-1
noto-fonts 1:2026.07.01-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
picom 13-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
polybar 3.7.2-2
powertop 2.15-2
qutebrowser 3.7.0-1
ranger 1.9.4-5
rofi 2.0.0-1
sshfs 3.7.6-1
starship 1.26.0-1
sxhkd 0.6.3-1
tmux 3.7_b-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ufw 0.36.2-7
wireplumber 0.5.15-1
xclip 0.13-6
xf86-input-libinput 1.5.0-1
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xorg-server 21.1.24-1
xorg-xauth 1.1.5-1
xorg-xev 1.2.7-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.7-1
xorg-xmodmap 1.0.12-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.3-1
xorg-xset 1.2.6-1
xorg-xsetroot 1.1.4-1
xss-lock 0.4.0-1
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
yt-dlp 2026.07.04-1
